symbol
BTC
ETH
XLM
WIF
JASMY
FEAR
SWASH
SOUL
KARRAT
PEPE
UNI
SNEK
PEIPEI
XTM
VELO
TAO
AR
SAND
GENOME
GFT
ALICE
GALA
UNFI
STRIKE
FTM
VET
OP
ZIL
UOS
STRK
DSYNC
PBX
KDA
AXS
FIL
HBAR
SUPER
PYR
DOGE
ADA
LUNC
BOME
ENJ
TLM
ARB
MANA
VRA
SHIB
BLOK
SOL
DATA
SLP
XAI
AIOZ
FET
FOXY
WLD
BOSON
TRUMP
KAS
NEAR
BIGTIME
CSPR
XRP
BOB
ONDO
ANKR
JTO
EPIK
LUNA
APE
WILD
WAVES
AAVE
QI
POLC
GODS
OM
FLOKI
PIXEL
POPCAT
FTT
NFP
TRX
POLS
FIRE
CARV
CRO
VR
FCON
BONK
SENSO
